2 МАЛЕНЬКИХ ПЕРФОРИРОВАННЫХ ПРОТИВНЯ ИЗ НЕРЖАВЕЮЩЕЙ СТАЛИ, 40 ММ:  | Передняя левая центральная (мм)
FABER AIRLINE - ОТВОД БЕЗ ТРУБ:  | Без мотора
STIRRER МИКРОВОЛНОВОЕ ПРИГОТОВЛЕНИЕ БЕЗ ПОВОРОТНОГО СТОЛА:  | Без мотора
БЕЗ ДЕКОРА:  | Без мотора
БЕЗ ОТЖИМА:  | Без мотора
БЕСЩЕТОЧНЫЙ ДВИГАТЕЛЬ:  | Без мотора
ВЕС (БЕЗ УПАКОВКИ):  | Без мотора
ВЕС БЕЗ УПАКОВКИ, КГ:  | Без мотора
ВЕС БЕЗ УПАКОВКИ/В УПАКОВКЕ, КГ:  | Без мотора
ВЕС С/БЕЗ УПАКОВКИ, КГ:  | Без мотора
ВНЕШНИЙ МОТОР:  | Без мотора
ВОЗМОЖНОСТЬ РАБОТЫ С ВНЕШНИМ МОТОРОМ:  | Без мотора
ВОЗМОЖНОСТЬ УСТАНОВКИ ВЫНОСНОГО МОТОРА:  | Без мотора
ВЫСОТА БЕЗ КРЫШКИ:  | Без мотора
ВЫСОТА НИШИ ДЛЯ ВСТР. (ММ):  | Передняя левая центральная (мм)
ВЫСОТА С РАБОЧЕЙ ПОВЕРХНОСТЬЮ (ММ):  | Передняя левая центральная (мм)
ВЫСОТА УПАКОВКИ (ММ):  | Передняя левая центральная (мм)
ГАБАРИТЫ (ØXВ) (ММ):  | Передняя левая центральная (мм)
ГАБАРИТЫ НИШИ ДЛЯ ВСТРАИВАНИЯ, Ш Х Г, ММ:  | Передняя левая центральная (мм)
ГЛУБИНА БЕЗ РУЧЕК:  | Без мотора
ГЛУБИНА БЕЗ РУЧЕК (ММ):  | Без мотора, Передняя левая центральная (мм)
ГЛУБИНА ВСТРАИВАНИЯ (ММ):  | Передняя левая центральная (мм)
ГЛУБИНА ЛЕВОЙ ЧАШИ (ММ):  | Передняя левая центральная (мм)
ГЛУБИНА НИШИ ДЛЯ ВСТР. (ММ):  | Передняя левая центральная (мм)
ГЛУБИНА С РУЧКОЙ (ММ):  | Передняя левая центральная (мм)
ГЛУБИНА УПАКОВКИ (ММ):  | Передняя левая центральная (мм)
ГЛУБИНА ЧАШИ (ММ):  | Передняя левая центральная (мм)
ГЛУБИНА, ММ:  | Передняя левая центральная (мм)
ГОРИЗОНТАЛЬНОЕ ВРАЩЕНИЕ ДВИГАТЕЛЯ:  | Без мотора
ДВИГАТЕЛЬ:  | Без мотора
ДЕРЖАТЕЛЬ ЦЕНТРАЛЬНОГО ФИЛЬТРА:  | Передняя левая центральная (мм)
ДИАМЕТР ВОЗДУХОВОДА (ММ):  | Передняя левая центральная (мм)
ДИАМЕТР ВОЗДУХОВОДА, ММ:  | Передняя левая центральная (мм)
ДИАМЕТР ВРАЩАЮЩЕЙСЯ ТАРЕЛКИ (ММ):  | Передняя левая центральная (мм)
ДИАМЕТР ВЫТЯЖНОГО ПАТРУБКА (ММ):  | Передняя левая центральная (мм)
ДИАМЕТР ВЫХОДНОГО ОТВЕРСТИЯ (ММ):  | Передняя левая центральная (мм)
ДИАМЕТР ЗАГРУЗОЧНОГО ЛЮКА (ММ):  | Передняя левая центральная (мм)
ДИАМЕТР КЕРАМИЧЕСКОГО КАРТРИДЖА, ММ:  | Передняя левая центральная (мм)
ДИАМЕТР ЛЕВОЙ БЛИЖНЕЙ КОНФОРКИ, СМ:  | Передняя левая центральная (мм)
ДИАМЕТР ЛЕВОЙ ДАЛЬНЕЙ КОНФОРКИ, СМ:  | Передняя левая центральная (мм)
ДИАМЕТР ЛЕВОЙ КОНФОРКИ, СМ:  | Передняя левая центральная (мм)
ДИАМЕТР ПЛАТФОРМЫ (ММ):  | Передняя левая центральная (мм)
ДИАМЕТР, ММ:  | Передняя левая центральная (мм)
ДИСК СЛАЙСЕР БЕЗ РЕГУЛИРОВКИ ТОЛЩИНЫ:  | Без мотора
ДЛИНА ОТВЕРСТИЯ ДЛЯ ТОСТА (ММ):  | Передняя левая центральная (мм)
ДЛИНА ШВА ЗАПАЙКИ, ММ:  | Передняя левая центральная (мм)
ЗАДНЯЯ (ММ):  | Передняя левая центральная (мм)
ЗАДНЯЯ ЛЕВАЯ (КВТ):  | Передняя левая центральная (мм)
ЗАДНЯЯ ЛЕВАЯ (ММ):  | Передняя левая центральная (мм)
ЗАДНЯЯ ЛЕВАЯ ЦЕНТРАЛЬНАЯ (КВТ):  | Передняя левая центральная (мм)
ЗАДНЯЯ ЛЕВАЯ ЦЕНТРАЛЬНАЯ (ММ):  | Передняя левая центральная (мм)
ЗАДНЯЯ ЛЕВАЯ, ВТ:  | Передняя левая центральная (мм)
ЗАДНЯЯ ЛЕВАЯ, КВТ:  | Передняя левая центральная (мм)
ЗАДНЯЯ ЛЕВАЯ, ММ:  | Передняя левая центральная (мм)
